password,strength,bcrypt_hash,rounds,time_ms
"}nUuqyRcAe>va4=P{)3bRxh.""&=",4,$2b$10$W/pb4eGUFnQcZ9CxaCFEqOYcr/TiMxD3fqN4x82DDIZqGjsp4uI1K,10,95.885
"L^LPRJD,@s7$l{m@f]5B1a@^",4,$2b$10$g./MpEq8zRMu4BLjsvNgn.1SdNNjbCDPUvnv2GzO0SeOvGLsmxmVq,10,72.899
"$z<XGve.q]X0""1V6_Y|{",4,$2b$10$N7DUMzqVuwhbXf9Hi9nL2.fhT.bO37J9LKdn2lApzlaVrg8Bk4mNK,10,62.701
Ec5xSNfl6t92<hC/1'VO4s0h!4\,4,$2b$10$MKMGF2rrxGtihRPfl05txuUWGm0V1rPn96DKxSYtmLLInQMHrCtye,10,106.572
SIH~&7y#'l0/#[)wyk<Qp3v<Ak9YN<sV,4,$2b$10$ZMadHvm1PMlX5ATfROyWu.Ny3T3vpEhH2tuLvDxy/h88tyZjneUoK,10,71.091
"U_O*CJP>""YFe:*wx",4,$2b$10$MxDgtZv00Zo60FDkxeBvH.keRwOVks3NFuxsJrrY/qSdUgf.LjCWi,10,64.598
"=pLrRYRK'MTv68U~:^z6i,yd~_qh^836",4,$2b$10$K5PcH5o9E4gQrsezzjtm5OpiP.GQJEWFiOsqFkvVmLdjchBkV4bBu,10,65.132
"jkN=vj>3O)c]x&g(""u0@@y",4,$2b$10$hqMgoK6i3Bs1wBLr6Oa5hOa/OB4iyxCHu2nSB7zDRo2JHy9iJk3W.,10,61.302
"L*.yig{,iJvtE{2^7asM)Vg",4,$2b$10$TvsRhQirVejEwe32k4l9CeQ15U9R2xbkDbeRCBRAaECTkvXwkDq2.,10,83.621
E~oUB&8PJ>L94+MHm~Ny{,4,$2b$10$.SNArd1Z/j1bcb75usDId..VyMx7q/99BwQnpspQP4RETghhhUv9O,10,64.404
"q]@y3s]T+=lF=ZLxoLW;b,rHW,ivXE",4,$2b$10$8dMfCcdy7H0c8vVJnBTNbeTGdPtqFxEoVhnJ7Lu8q0u/FzjhyodVS,10,71.613
"6($cN.'>s~YV\""x2FFcaFj+",4,$2b$10$1jRZiOoyxRiUggpI/rIrp.xMyfwirZnF/IwzjoQs0lSK95tCGURcm,10,67.166
"[.4j\;[[Yz\$;?wK""b[""PH|?1E""",4,$2b$10$jwD7/8dIzz18JcSEQCrBZeMLNfxICqumJYyyFMELZYQPIagTlm3le,10,66.889
LRk/l)L[53c#Hu@)y,4,$2b$10$zAcwobh.9jy28emcp4.vau.pXLyjCxTV9ASzk8aLPzB7vnarmPwue,10,63.475
^}$Zy(n/i2)>?Cy]9Ase\,4,$2b$10$NU.EKDEbMtNoW5tJAF3JPu7IGf2OLjBp3t/zwhiGaZqbhdNKP/iFC,10,60.843
}8:^/22B[}%:]{A|.T[,4,$2b$10$4jfWTIi.6Djr3tcazElwpeaLBEWu9XdQd/m/fiTM8g4Dy.249zzE2,10,80.559
!eDMtwfb|RfQs7`H7E5HTC9r8,4,$2b$10$9ASfvpkIFpOq6g4rz2FooenI7HeR00.IXDEjhAoxrNlifuDd04/ye,10,65.789
}Qmf).`g-ecs%L<.G~@3\kPdpv^i,4,$2b$10$mzpFDZiQ1erYO46POKAPZ.mgeoTPY0kvXRS5YLzv5mt42YeMMlaDe,10,85.302
"H77U7lMu#?%^c=}]|b\5yDH$aZ,A",4,$2b$10$Ccd/vu0b33WvEYryTcCpoeunpRXZDmedoRaQ9y7vxmGHneHuPyfMy,10,69.82
uW.{7)L^tDgz\xB(fqeZ4IDkO@,4,$2b$10$1Ji39GgsambC3E6C9icrZO3ELwRAmenqeXtttuAsUM6oatj53S4Hi,10,81.189
