Password,Strength_Level
Activate9999,1
bbbbadjurer4,1
asdfadinole5,1
acetoinAsdf,1
qweabsurdly3,1
abnerval9999,1
vvvv5aCroatic,1
098adEnose,1
adroop5wwww,1
0Aeolistllll,1
kkkkAcontius,1
1234acrimony7,1
7777ablest6,1
acHeirus5678,1
ooooadermin6,1
098ghjk0,1
hhhh5acrostic,1
abbassifFff,1
9acapniA,1
abietatezXcv,1
adjuTage8,1
tyui5Adonis,1
gggg5Acridium,1
achymialkjh,1
abashedkkkk,1
8adulate7777,1
actinIsmqqqq,1
ccccAcadiE,1
accresCe,1
cvbnaddict,1
aegyRitezxcv,1
ableezellll,1
bbbbacervoSe,1
2acromial,1
Mnbvabuseful,1
adhamantqweRty,1
AcrisiUszzzz,1
achroma2mmmm,1
ghjk9acuation,1
activism0098,1
1111acentric,1
1Ababuaasdf,1
Aeolist72222,1
qqqq8acoupa,1
acetous0uuuu,1
lkjhAchernaR,1
vvvv6Aceldama,1
oooo2Adiantum,1
8achtelzzzz,1
acrosomEcccc,1
2accrescedddd,1
qwerAchaeta,1
abridger7,1
5ablaUt,1
achinGlyuuuu,1
abVoltrtyu,1
achymouscvbn,1
4AceRbas,1
qweAdharA,1
qWeradjiger,1
aCceptor6eeee,1
oooo8abature,1
nnnn3addlings,1
098Adelges2,1
Adonai9tyui,1
qweAdhara7,1
actineqwe,1
achtelQwerty,1
AEoliscccc,1
mnbvadunciTy,1
zxcv88886,1
ABassin7777,1
xxxxabacay1,1
abelitE5,1
8accenToreeee,1
5Zxcv,1
qwertyacetaL9,1
acieratertyu,1
5Acrydium0000,1
ssssadmonish9,1
aBrastoltttt,1
ddddAccess9,1
7abaissedmnbv,1
acheirUsssss,1
acosmist1abc,1
qweAblaze,1
7777abroTine,1
acTive9,1
abortin3qweR,1
qweabacay,1
Abettor4,1
acquest8lkjh,1
5678Acnida5,1
nnnnabnegate,1
qweAbhiseka3,1
acApulco8,1
ppppacritol4,1
9adnoungggg,1
accolle6lkjh,1
44445acacetin,1
abraid2yyyy,1
6acidemiaffff,1
lkjh3llll,1
qweracinus,1
8adducelkjh,1
1237abouts,1
Adelbertffff,1
actuary35678,1
2ademptedllll,1
bbbb7Adrienne,1
Acalycal1111,1
abomine66666,1
dddd8acylogen,1
aeCidiumtyui,1
44445abrastol,1
acidly81234,1
Cccckkkk,1
rtyuAdephaga8,1
12343acromial,1
tyuiabsolve4,1
aenean55678,1
asdf7aedilic,1
abeyance123,1
uuuu7zxcv,1
accorderzxCv,1
nnnnacerose,1
kkkkaboral5,1
3AconTius,1
tyui6666,1
achEtertyu,1
adulToid7,1
0000Acolhuan,1
aDvise7,1
766664444,1
Adeona9abc,1
4actifierasd,1
5abuseeoooo,1
iiiiaceDiast,1
AbronIa,1
ssssAdamsia,1
aaaaadmiring,1
aCerrajjjj,1
adinidan2asdf,1
123Adelaide0,1
xxxxacapuLco7,1
aberrate6qwEr,1
eeeeacquist,1
aEcidiumqwerty,1
abysmal2asd,1
7wwWw,1
aclidianGhjk,1
adaptermnbv,1
4Acmisponlkjh,1
adroOp1lkjh,1
7777AChakzai,1
cvbnabrook6,1
aDipsousxxxx,1
zzzz0abator,1
jjjjaDenine,1
zxcv4accoast,1
adenoiDpoiuy,1
aeneous69999,1
dddd6Abroma,1
6accoaSt,1
9adnatIon,1
8888adiatiOn8,1
llll1Adoniram,1
cvbnAdamsia5,1
iiiiabdicant1,1
1mnbvqwerty,1
mnbv6Aeolia,1
qwerabsolver4,1
xxxxAdoniA,1
mmmmactress3,1
tttt99993,1
active0000,1
adUltoidiiii,1
Adenoma9999,1
adPressasd,1
0986adultery,1
Abiezer0nnnn,1
5555abaissed6,1
absumeqwer,1
ggggadMitted,1
aCromioncccc,1
1111acinosE,1
7aegIrite,1
qweaccouple0,1
xxxxacepHal,1
2Acrotic,1
acceptEdlkjh,1
55559accroach,1
actiVity3,1
6acCloy,1
rtYuaccused,1
eeeEacrasia,1
Adamical4rtyu,1
AbnAkilkjh,1
7AbobrA,1
lkjhabbacy9,1
AbabdeH3,1
uuuu5aborted,1
